package_id,origin_city,destination_city,region,status,weight_kg,shipping_cost
PKG-000060,Vienna,Munich,EU_WEST,Delivered,40.44,99.58
PKG-000061,Warsaw,Hamburg,EU_WEST,Delivered,65.98,104.93
PKG-000062,Split,Tirana,EU_NORTH,Delayed,52.84,122.82
PKG-000063,Sarajevo,Rotterdam,EU_WEST,Delayed,50.17,113.7
PKG-000064,Zurich,Madrid,EU_SOUTH,Delayed,20.02,128.28
PKG-000065,Podgorica,Valencia,EU_SOUTH,Delayed,20.61,94.6
PKG-000066,Tampere,Turin,EU_SOUTH,Delayed,51.64,150.74
PKG-000067,Riga,Birmingham,EU_WEST,Delivered,67.92,163.76
PKG-000068,Plovdiv,Cork,EU_WEST,Delivered,3.55,47.54
PKG-000069,Edinburgh,Seville,EU_SOUTH,In-Transit,55.66,118.01
PKG-000070,Istanbul,Rotterdam,EU_WEST,Delayed,8.61,125.22
PKG-000071,Valencia,Tirana,EU_NORTH,Delayed,2.94,51.3
PKG-000072,Barcelona,Zagreb,EU_NORTH,Delivered,9.78,49.8
PKG-000073,Kraków,Turin,EU_SOUTH,In-Transit,51.23,128.08
PKG-000074,Istanbul,Cluj-Napoca,EU_NORTH,Delivered,73.04,156.52
PKG-000075,Seville,Porto,EU_SOUTH,Delayed,66.14,63.69
PKG-000076,Helsinki,Cluj-Napoca,EU_NORTH,Delivered,60.22,159.37
PKG-000077,Dublin,Seville,EU_SOUTH,Delivered,59.11,67.71
PKG-000078,Vilnius,Athens,EU_SOUTH,In-Transit,15.17,127.61
PKG-000079,Bergen,Thessaloniki,EU_SOUTH,In-Transit,16.91,98.08
PKG-000080,Helsinki,Cork,EU_WEST,In-Transit,64.86,175.66
PKG-000081,Warsaw,Belgrade,EU_NORTH,Delayed,30.13,147.85
PKG-000082,Helsinki,Antwerp,EU_WEST,Delivered,8.87,128.49
PKG-000083,Edinburgh,Paris,EU_WEST,Delayed,8.35,63.75
PKG-000084,Copenhagen,Zagreb,EU_NORTH,In-Transit,45.56,104.6
PKG-000085,Ankara,Milan,EU_SOUTH,Delivered,19.29,105.95
PKG-000086,Novi Sad,Skopje,EU_NORTH,Delayed,51.59,161.18
PKG-000087,Naples,Gdańsk,EU_NORTH,In-Transit,32.49,145.98
PKG-000088,Copenhagen,Basel,EU_WEST,In-Transit,54.05,86.48
PKG-000089,Cluj-Napoca,Aarhus,EU_NORTH,Delivered,30.33,65.76
PKG-000090,Milan,Sofia,EU_NORTH,Delayed,49.95,92.45
PKG-000091,Porto,Izmir,EU_NORTH,Delivered,22.75,89.59
PKG-000092,Oslo,Stockholm,EU_NORTH,Delayed,15.96,112.36
PKG-000093,Aarhus,Košice,EU_NORTH,Delayed,33.27,113.85
PKG-000094,Vilnius,Lisbon,EU_SOUTH,Delayed,49.5,80.63
PKG-000095,Helsinki,Cologne,EU_WEST,Delayed,61.43,146.85
PKG-000096,Bergen,Athens,EU_SOUTH,Delivered,60.54,73.64
PKG-000097,Manchester,Vilnius,EU_NORTH,In-Transit,45.94,135.77
PKG-000098,Sofia,Ankara,EU_NORTH,In-Transit,14.78,100.63
PKG-000099,Bucharest,Manchester,EU_WEST,Delivered,11.28,96.6
PKG-000100,Plovdiv,Athens,EU_SOUTH,Delayed,13.4,130.85
PKG-000101,Košice,Marseille,EU_WEST,Delivered,41.92,150.23
PKG-000102,Bratislava,Madrid,EU_SOUTH,Delayed,60.16,135.75
PKG-000103,Copenhagen,Split,EU_NORTH,Delayed,46.05,129.96
PKG-000104,Plovdiv,Podgorica,EU_NORTH,In-Transit,33.58,52.14
PKG-000105,Ljubljana,Edinburgh,EU_WEST,In-Transit,56.45,153.27
PKG-000106,Novi Sad,Riga,EU_NORTH,Delivered,47.1,77.49
PKG-000107,Stockholm,London,EU_WEST,Delayed,20.56,60.34
PKG-000108,Frankfurt,Madrid,EU_SOUTH,Delivered,11.52,60.26
PKG-000109,Florence,Hamburg,EU_WEST,In-Transit,31.26,70.78
PKG-000110,Sofia,Berlin,EU_WEST,Delayed,15.71,68.27
PKG-000111,Brussels,Ankara,EU_NORTH,In-Transit,28.68,29.59
PKG-000112,Oslo,Budapest,EU_NORTH,In-Transit,64.05,173.35
PKG-000113,Skopje,Tirana,EU_NORTH,In-Transit,60.04,163.27
PKG-000114,Athens,Dublin,EU_WEST,In-Transit,32.83,35.89
PKG-000115,Bucharest,Lisbon,EU_SOUTH,Delayed,63.08,168.46
PKG-000116,Skopje,Antwerp,EU_WEST,Delayed,68.04,133.36
PKG-000117,Antwerp,Frankfurt,EU_WEST,In-Transit,48.3,61.84
PKG-000118,Rome,Marseille,EU_WEST,In-Transit,19.7,60.53
PKG-000119,Aarhus,Tampere,EU_NORTH,In-Transit,57.15,98.57
PKG-000120,Birmingham,Frankfurt,EU_WEST,Delivered,35.41,124.48
PKG-000121,Warsaw,Athens,EU_SOUTH,Delayed,48.85,139.77
PKG-000122,Lyon,Antwerp,EU_WEST,Delivered,71.23,88.97
PKG-000123,Valencia,London,EU_WEST,Delayed,9.69,93.07
PKG-000124,Florence,Košice,EU_NORTH,Delivered,52.54,141.19
PKG-000125,Geneva,Seville,EU_SOUTH,Delivered,72.36,78.98
PKG-000126,Bergen,Ankara,EU_NORTH,In-Transit,50.88,162.73
PKG-000127,Naples,Munich,EU_WEST,Delivered,44.51,142.0
PKG-000128,Zurich,Oslo,EU_NORTH,Delivered,63.81,130.79
PKG-000129,Izmir,Lyon,EU_WEST,In-Transit,26.2,78.18
PKG-000130,Hamburg,Tartu,EU_NORTH,In-Transit,48.65,47.37
PKG-000131,Riga,Zurich,EU_WEST,In-Transit,32.66,75.72
PKG-000132,Valencia,Zagreb,EU_NORTH,Delayed,13.42,78.52
PKG-000133,Dublin,Skopje,EU_NORTH,Delayed,58.15,109.71
PKG-000134,Dublin,Aarhus,EU_NORTH,Delivered,63.92,158.52
PKG-000135,Cork,Ljubljana,EU_NORTH,Delayed,18.48,75.97
PKG-000136,Brno,Tampere,EU_NORTH,Delivered,2.4,108.65
PKG-000137,Riga,Florence,EU_SOUTH,In-Transit,26.77,58.26
PKG-000138,Cork,Istanbul,EU_NORTH,Delivered,1.01,119.13
PKG-000139,London,Cluj-Napoca,EU_NORTH,Delayed,36.77,126.73
PKG-000140,Vilnius,Riga,EU_NORTH,In-Transit,33.75,35.26
PKG-000141,Athens,Bucharest,EU_NORTH,Delayed,51.96,85.41
PKG-000142,Prague,Vilnius,EU_NORTH,Delayed,41.62,81.13
PKG-000143,Podgorica,Helsinki,EU_NORTH,In-Transit,26.55,81.52
PKG-000144,Birmingham,Thessaloniki,EU_SOUTH,Delivered,9.27,35.49
PKG-000145,Skopje,Rome,EU_SOUTH,In-Transit,14.57,105.52
PKG-000146,Sarajevo,Stockholm,EU_NORTH,In-Transit,73.54,166.92
PKG-000147,Thessaloniki,Gdańsk,EU_NORTH,Delayed,13.66,17.81
PKG-000148,Luxembourg City,Cork,EU_WEST,In-Transit,3.65,14.15
PKG-000149,Luxembourg City,Riga,EU_NORTH,In-Transit,7.92,12.7
PKG-000150,Vilnius,Kaunas,EU_NORTH,Delivered,33.18,54.83
PKG-000151,Birmingham,Kaunas,EU_NORTH,In-Transit,8.78,19.8
PKG-000152,Munich,Ankara,EU_NORTH,Delivered,47.3,51.14
PKG-000153,Izmir,Oslo,EU_NORTH,Delayed,6.62,39.91
PKG-000154,Sofia,Athens,EU_SOUTH,In-Transit,58.23,99.64
PKG-000155,Oslo,Plovdiv,EU_NORTH,Delayed,23.08,98.64
PKG-000156,Vienna,Turin,EU_SOUTH,Delivered,47.01,76.22
PKG-000157,Seville,London,EU_WEST,Delivered,13.24,24.76
PKG-000158,Cluj-Napoca,Ljubljana,EU_NORTH,Delivered,51.78,104.9
PKG-000159,Thessaloniki,Stockholm,EU_NORTH,In-Transit,53.09,133.99
PKG-000160,Munich,Thessaloniki,EU_SOUTH,Delayed,69.31,157.95
PKG-000161,Naples,Plovdiv,EU_NORTH,Delivered,8.83,38.98
PKG-000162,Dublin,Barcelona,EU_SOUTH,In-Transit,5.59,29.16
PKG-000163,Izmir,Stockholm,EU_NORTH,In-Transit,33.08,88.86
PKG-000164,Bucharest,Dublin,EU_WEST,Delivered,37.66,95.77
PKG-000165,Lyon,Zagreb,EU_NORTH,Delivered,55.16,123.83
PKG-000166,Cologne,Thessaloniki,EU_SOUTH,Delayed,72.15,166.14
PKG-000167,Brussels,Dublin,EU_WEST,Delivered,43.32,132.9
PKG-000168,Vilnius,Novi Sad,EU_NORTH,Delivered,48.95,156.04
PKG-000169,Zagreb,Riga,EU_NORTH,In-Transit,72.69,122.69
PKG-000170,Helsinki,Aarhus,EU_NORTH,In-Transit,50.34,150.22
PKG-000171,Cluj-Napoca,Tallinn,EU_NORTH,Delayed,21.79,136.44
PKG-000172,Paris,Bratislava,EU_NORTH,Delivered,6.83,40.59
PKG-000173,Bucharest,Belgrade,EU_NORTH,Delayed,61.91,57.26
PKG-000174,Košice,Cluj-Napoca,EU_NORTH,Delayed,4.3,70.37
PKG-000175,Tallinn,Split,EU_NORTH,Delayed,57.06,77.43
PKG-000176,Luxembourg City,Stockholm,EU_NORTH,Delivered,33.0,116.34
PKG-000177,Antwerp,London,EU_WEST,Delivered,53.31,87.1
PKG-000178,Podgorica,Cluj-Napoca,EU_NORTH,Delivered,7.22,129.71
PKG-000179,Košice,Basel,EU_WEST,Delayed,48.67,64.35
PKG-000180,Gothenburg,Belgrade,EU_NORTH,In-Transit,52.98,99.39
PKG-000181,Vilnius,Manchester,EU_WEST,Delivered,34.39,51.09
PKG-000182,Belgrade,Madrid,EU_SOUTH,In-Transit,64.84,92.76
PKG-000183,Tampere,Tartu,EU_NORTH,Delayed,20.22,21.99
PKG-000184,Oslo,Riga,EU_NORTH,In-Transit,64.93,113.28
PKG-000185,Warsaw,Helsinki,EU_NORTH,In-Transit,41.51,105.0
PKG-000186,Aarhus,Milan,EU_SOUTH,In-Transit,73.56,95.68
PKG-000187,Thessaloniki,Cluj-Napoca,EU_NORTH,Delayed,3.51,96.85
PKG-000188,Brno,Budapest,EU_NORTH,Delayed,74.13,162.6
PKG-000189,Valencia,Tallinn,EU_NORTH,Delayed,72.37,81.16
PKG-000190,Helsinki,Vienna,EU_WEST,Delayed,65.6,113.1
PKG-000191,Bratislava,Rotterdam,EU_WEST,Delayed,54.25,99.81
PKG-000192,Valencia,Munich,EU_WEST,In-Transit,35.34,150.84
PKG-000193,Debrecen,Frankfurt,EU_WEST,Delayed,63.92,161.11
PKG-000194,Brno,Copenhagen,EU_NORTH,In-Transit,47.1,151.03
PKG-000195,Tirana,Paris,EU_WEST,Delayed,46.41,72.12
PKG-000196,Stockholm,Thessaloniki,EU_SOUTH,Delivered,56.07,104.24
PKG-000197,Vienna,Split,EU_NORTH,Delivered,12.69,51.22
PKG-000198,Lyon,Aarhus,EU_NORTH,In-Transit,59.76,90.5
PKG-000199,Zagreb,Barcelona,EU_SOUTH,Delayed,18.5,69.67
PKG-000200,Rome,Lisbon,EU_SOUTH,In-Transit,13.34,88.98
PKG-000201,London,Tallinn,EU_NORTH,In-Transit,68.48,79.88
PKG-000202,Birmingham,Bratislava,EU_NORTH,In-Transit,19.34,22.07
PKG-000203,Stockholm,Tirana,EU_NORTH,In-Transit,12.06,67.76
PKG-000204,Oslo,Plovdiv,EU_NORTH,In-Transit,51.85,103.39
PKG-000205,Naples,Budapest,EU_NORTH,In-Transit,64.04,71.73
PKG-000206,Ankara,Kraków,EU_NORTH,In-Transit,43.22,160.36
PKG-000207,Brussels,Debrecen,EU_NORTH,Delayed,20.77,90.07
PKG-000208,Marseille,Tallinn,EU_NORTH,Delivered,62.5,165.98
PKG-000209,Kraków,Athens,EU_SOUTH,Delayed,47.84,119.67
PKG-000210,Madrid,Vienna,EU_WEST,In-Transit,67.78,139.67
PKG-000211,Split,Paris,EU_WEST,Delivered,43.57,129.42
PKG-000212,Gothenburg,Aarhus,EU_NORTH,Delivered,56.12,73.28
PKG-000213,Tirana,Gdańsk,EU_NORTH,Delivered,39.93,148.06
PKG-000214,Birmingham,Kaunas,EU_NORTH,In-Transit,72.56,101.59
PKG-000215,Geneva,Košice,EU_NORTH,Delivered,72.23,82.79
PKG-000216,Debrecen,Istanbul,EU_NORTH,Delivered,27.59,122.83
PKG-000217,Edinburgh,Skopje,EU_NORTH,Delayed,9.49,56.8
PKG-000218,Edinburgh,Brno,EU_NORTH,Delivered,61.73,169.81
PKG-000219,Thessaloniki,Vilnius,EU_NORTH,Delayed,2.12,112.41
PKG-000220,Aarhus,Athens,EU_SOUTH,In-Transit,48.66,122.11
PKG-000221,Oslo,Cluj-Napoca,EU_NORTH,Delivered,8.97,17.57
PKG-000222,Oslo,Tallinn,EU_NORTH,Delayed,8.93,40.27
PKG-000223,Madrid,Budapest,EU_NORTH,Delayed,34.16,113.99
PKG-000224,Tirana,Sofia,EU_NORTH,In-Transit,44.15,129.22
PKG-000225,Vienna,Riga,EU_NORTH,In-Transit,46.27,156.52
PKG-000226,Paris,Prague,EU_NORTH,Delivered,16.49,71.88
PKG-000227,Gdańsk,Vienna,EU_WEST,Delayed,73.57,111.11
PKG-000228,Kraków,Berlin,EU_WEST,Delivered,30.01,52.79
PKG-000229,Bratislava,Cologne,EU_WEST,Delayed,49.79,123.83
PKG-000230,Brussels,Marseille,EU_WEST,Delivered,59.06,83.93
PKG-000231,Izmir,Turin,EU_SOUTH,Delivered,5.38,100.89
PKG-000232,Florence,Thessaloniki,EU_SOUTH,Delayed,24.81,43.3
PKG-000233,Amsterdam,Cork,EU_WEST,Delivered,64.42,76.62
PKG-000234,Tirana,Birmingham,EU_WEST,Delivered,59.94,68.64
PKG-000235,Luxembourg City,Rotterdam,EU_WEST,Delayed,27.03,122.09
PKG-000236,Aarhus,Brussels,EU_WEST,Delayed,13.27,22.07
PKG-000237,Sofia,Sarajevo,EU_NORTH,In-Transit,8.75,19.56
PKG-000238,Gdańsk,Belgrade,EU_NORTH,Delivered,44.63,96.68
PKG-000239,Lyon,Novi Sad,EU_NORTH,Delivered,22.8,101.08
PKG-000240,Berlin,Kaunas,EU_NORTH,Delivered,63.59,109.7
PKG-000241,Riga,Split,EU_NORTH,Delayed,5.74,19.07
PKG-000242,Barcelona,Hamburg,EU_WEST,Delayed,9.68,87.65
PKG-000243,Podgorica,Aarhus,EU_NORTH,In-Transit,28.72,100.6
PKG-000244,Bratislava,Tartu,EU_NORTH,Delayed,45.51,55.08
PKG-000245,Geneva,Podgorica,EU_NORTH,In-Transit,54.13,76.31
PKG-000246,Thessaloniki,Cluj-Napoca,EU_NORTH,In-Transit,25.59,80.67
PKG-000247,Vienna,Copenhagen,EU_NORTH,In-Transit,32.15,111.64
PKG-000248,Valencia,Vilnius,EU_NORTH,Delivered,5.27,108.79
PKG-000249,Zagreb,Vienna,EU_WEST,Delivered,55.91,96.74
PKG-000250,Istanbul,Berlin,EU_WEST,In-Transit,44.09,109.37
PKG-000251,Basel,Cluj-Napoca,EU_NORTH,In-Transit,26.68,107.02
PKG-000252,Marseille,Stockholm,EU_NORTH,Delayed,45.13,85.06
PKG-000253,Tartu,Florence,EU_SOUTH,Delivered,11.82,72.41
PKG-000254,Warsaw,Istanbul,EU_NORTH,Delayed,27.73,119.58
PKG-000255,Athens,Plovdiv,EU_NORTH,Delayed,63.43,175.36
PKG-000256,Istanbul,Antwerp,EU_WEST,Delayed,45.77,122.34
PKG-000257,Dublin,Antwerp,EU_WEST,In-Transit,13.74,100.5
PKG-000258,Tampere,Warsaw,EU_NORTH,Delayed,0.71,109.49
PKG-000259,Bucharest,Hamburg,EU_WEST,Delivered,10.86,89.71
PKG-000260,Cologne,Sarajevo,EU_NORTH,In-Transit,16.33,68.76
PKG-000261,Seville,Prague,EU_NORTH,Delayed,23.54,63.43
PKG-000262,Frankfurt,Marseille,EU_WEST,Delivered,11.88,105.13
PKG-000263,Frankfurt,Dublin,EU_WEST,Delayed,33.37,83.75
PKG-000264,Split,Sofia,EU_NORTH,Delivered,20.67,112.66
PKG-000265,Warsaw,Zagreb,EU_NORTH,Delayed,8.54,93.15
PKG-000266,Riga,Sarajevo,EU_NORTH,In-Transit,50.12,52.55
PKG-000267,Berlin,Amsterdam,EU_WEST,Delivered,15.53,131.14
PKG-000268,Birmingham,Gothenburg,EU_NORTH,Delayed,24.78,26.49
PKG-000269,Zagreb,Porto,EU_SOUTH,Delivered,9.91,76.83
PKG-000270,Tartu,Istanbul,EU_NORTH,Delivered,62.54,154.4
PKG-000271,Debrecen,Lyon,EU_WEST,Delivered,32.86,87.6
PKG-000272,Copenhagen,Ankara,EU_NORTH,Delayed,32.34,80.52
PKG-000273,Sofia,Gothenburg,EU_NORTH,In-Transit,8.86,14.53
PKG-000274,Lisbon,Bratislava,EU_NORTH,Delivered,62.44,167.95
PKG-000275,Zagreb,Zurich,EU_WEST,Delayed,18.44,90.84
PKG-000276,Frankfurt,Debrecen,EU_NORTH,Delivered,65.32,149.52
PKG-000277,Helsinki,Lisbon,EU_SOUTH,Delayed,5.96,85.55
PKG-000278,Belgrade,Milan,EU_SOUTH,Delayed,67.97,104.2
PKG-000279,Barcelona,London,EU_WEST,Delivered,7.93,41.96
PKG-000280,Valencia,Munich,EU_WEST,In-Transit,13.49,108.71
PKG-000281,Košice,Izmir,EU_NORTH,Delayed,57.05,106.86
PKG-000282,Aarhus,Copenhagen,EU_NORTH,In-Transit,11.53,22.49
PKG-000283,Oslo,Cork,EU_WEST,Delivered,44.46,84.52
PKG-000284,Bergen,Košice,EU_NORTH,In-Transit,34.03,40.25
PKG-000285,Munich,Cologne,EU_WEST,In-Transit,46.22,104.64
PKG-000286,Podgorica,Lyon,EU_WEST,Delayed,33.87,130.47
PKG-000287,Milan,Aarhus,EU_NORTH,Delivered,45.47,103.31
PKG-000288,Ljubljana,Zurich,EU_WEST,Delayed,60.87,156.72
PKG-000289,Frankfurt,Tartu,EU_NORTH,Delayed,48.55,50.46
PKG-000290,Split,Sarajevo,EU_NORTH,In-Transit,39.33,56.98
PKG-000291,Stockholm,Budapest,EU_NORTH,Delayed,30.81,71.29
PKG-000292,Marseille,Helsinki,EU_NORTH,Delayed,5.18,20.24
PKG-000293,Budapest,Stockholm,EU_NORTH,Delayed,19.09,122.91
PKG-000294,Valencia,Helsinki,EU_NORTH,In-Transit,6.34,89.52
PKG-000295,Bergen,Debrecen,EU_NORTH,Delivered,9.89,97.97
PKG-000296,Bergen,Istanbul,EU_NORTH,Delivered,28.41,123.65
PKG-000297,Sarajevo,Cologne,EU_WEST,In-Transit,48.54,96.57
PKG-000298,Brussels,Gdańsk,EU_NORTH,In-Transit,23.34,138.48
PKG-000299,Riga,Milan,EU_SOUTH,Delivered,17.18,35.61
PKG-000300,Gothenburg,Vienna,EU_WEST,Delayed,38.2,101.74
PKG-000301,Sarajevo,Paris,EU_WEST,Delayed,49.73,151.94
PKG-000302,Luxembourg City,Brno,EU_NORTH,Delayed,11.78,36.21
PKG-000303,Lisbon,Split,EU_NORTH,Delayed,3.52,51.21
PKG-000304,London,Split,EU_NORTH,In-Transit,45.89,133.79
PKG-000305,Thessaloniki,Skopje,EU_NORTH,In-Transit,18.13,135.78
PKG-000306,Milan,Prague,EU_NORTH,In-Transit,50.95,116.26
PKG-000307,Košice,Stockholm,EU_NORTH,In-Transit,58.41,114.5
PKG-000308,Seville,Naples,EU_SOUTH,In-Transit,60.14,72.23
PKG-000309,Marseille,Kaunas,EU_NORTH,Delivered,65.59,126.8
PKG-000310,Novi Sad,Basel,EU_WEST,In-Transit,21.56,114.4
PKG-000311,Ljubljana,Belgrade,EU_NORTH,Delivered,11.26,66.57
PKG-000312,Ljubljana,Warsaw,EU_NORTH,In-Transit,69.8,113.62
PKG-000313,Tartu,Prague,EU_NORTH,In-Transit,17.87,139.03
PKG-000314,Athens,Antwerp,EU_WEST,Delayed,24.07,36.85
PKG-000315,Helsinki,Barcelona,EU_SOUTH,In-Transit,10.54,47.88
PKG-000316,Madrid,Vilnius,EU_NORTH,Delivered,33.78,33.84
PKG-000317,Brussels,Birmingham,EU_WEST,Delayed,16.37,36.36
PKG-000318,Sarajevo,Plovdiv,EU_NORTH,In-Transit,8.56,46.35
PKG-000319,Basel,Marseille,EU_WEST,Delayed,18.07,96.53
PKG-000320,Bratislava,Hamburg,EU_WEST,Delayed,8.54,120.38
PKG-000321,Skopje,Brussels,EU_WEST,Delayed,47.49,113.87
PKG-000322,Barcelona,Gothenburg,EU_NORTH,Delivered,32.34,105.77
PKG-000323,Ankara,Sofia,EU_NORTH,Delayed,14.25,96.8
PKG-000324,Gdańsk,Hamburg,EU_WEST,Delayed,71.52,130.58
PKG-000325,Podgorica,Brussels,EU_WEST,Delayed,29.44,85.94
PKG-000326,Budapest,Prague,EU_NORTH,Delivered,19.21,22.78
PKG-000327,Warsaw,London,EU_WEST,Delayed,55.04,126.67
PKG-000328,Helsinki,Madrid,EU_SOUTH,Delayed,3.56,73.05
PKG-000329,Porto,Košice,EU_NORTH,Delivered,73.57,124.46
PKG-000330,Madrid,Hamburg,EU_WEST,Delivered,53.77,163.44
PKG-000331,Gothenburg,Naples,EU_SOUTH,Delivered,3.52,31.43
PKG-000332,Copenhagen,Bergen,EU_NORTH,Delayed,38.77,156.15
PKG-000333,Vilnius,Birmingham,EU_WEST,In-Transit,2.99,84.67
PKG-000334,Kraków,Marseille,EU_WEST,Delivered,64.97,99.56
PKG-000335,Prague,Zagreb,EU_NORTH,In-Transit,66.74,150.43
PKG-000336,Tampere,Rome,EU_SOUTH,Delayed,37.34,95.94
PKG-000337,Dublin,Frankfurt,EU_WEST,Delayed,54.6,60.38
PKG-000338,Rome,Tirana,EU_NORTH,In-Transit,22.21,35.69
PKG-000339,Gothenburg,Bergen,EU_NORTH,Delivered,33.58,119.16
PKG-000340,Split,Warsaw,EU_NORTH,In-Transit,33.67,120.34
PKG-000341,Zagreb,Cork,EU_WEST,Delivered,48.05,140.32
PKG-000342,Munich,Bucharest,EU_NORTH,Delayed,27.41,123.93
PKG-000343,Seville,Antwerp,EU_WEST,In-Transit,10.92,86.69
PKG-000344,Paris,Luxembourg City,EU_WEST,In-Transit,5.28,102.41
PKG-000345,Gdańsk,Budapest,EU_NORTH,Delivered,71.22,68.92
PKG-000346,Ljubljana,Prague,EU_NORTH,Delayed,28.06,119.92
PKG-000347,Madrid,Sarajevo,EU_NORTH,In-Transit,27.68,65.75
PKG-000348,Manchester,Geneva,EU_WEST,Delayed,2.19,28.69
PKG-000349,Budapest,Istanbul,EU_NORTH,Delayed,9.05,105.19
PKG-000350,Ljubljana,Florence,EU_SOUTH,In-Transit,74.73,102.29
PKG-000351,Naples,Basel,EU_WEST,Delivered,10.4,22.23
PKG-000352,Split,Cologne,EU_WEST,In-Transit,60.84,172.32
PKG-000353,Warsaw,Hamburg,EU_WEST,In-Transit,41.36,74.5
PKG-000354,Seville,Porto,EU_SOUTH,Delivered,59.58,116.19
PKG-000355,Naples,Madrid,EU_SOUTH,In-Transit,17.95,79.04
PKG-000356,Podgorica,Ankara,EU_NORTH,Delayed,27.83,124.59
PKG-000357,Luxembourg City,Cologne,EU_WEST,Delayed,5.16,56.67
